item,distancia,fecha,hora
1,90,2024-06-30,12:08:23
2,90,2024-06-30,12:08:24
3,90,2024-06-30,12:08:25
4,90,2024-06-30,12:08:26
5,90,2024-06-30,12:08:27
6,90,2024-06-30,12:08:28
7,90,2024-06-30,12:08:29
8,90,2024-06-30,12:08:30
9,90,2024-06-30,12:08:31
10,78,2024-06-30,12:08:32
11,75,2024-06-30,12:08:33
12,75,2024-06-30,12:08:34
13,75,2024-06-30,12:08:35
14,75,2024-06-30,12:08:36
15,75,2024-06-30,12:08:37
16,75,2024-06-30,12:08:38
17,75,2024-06-30,12:08:39
18,75,2024-06-30,12:08:40
19,75,2024-06-30,12:08:41
20,75,2024-06-30,12:08:42
21,61,2024-06-30,12:08:43
22,60,2024-06-30,12:08:44
23,60,2024-06-30,12:08:45
24,60,2024-06-30,12:08:46
25,60,2024-06-30,12:08:47
26,60,2024-06-30,12:08:48
27,60,2024-06-30,12:08:49
28,60,2024-06-30,12:08:50
29,60,2024-06-30,12:08:51
30,59,2024-06-30,12:08:52
31,45,2024-06-30,12:08:53
32,45,2024-06-30,12:08:54
33,44,2024-06-30,12:08:55
34,44,2024-06-30,12:08:56
35,44,2024-06-30,12:08:57
36,44,2024-06-30,12:08:58
37,44,2024-06-30,12:08:59
38,44,2024-06-30,12:09:00
39,44,2024-06-30,12:09:01
40,44,2024-06-30,12:09:02
41,44,2024-06-30,12:09:03
42,30,2024-06-30,12:09:04
43,30,2024-06-30,12:09:05
44,30,2024-06-30,12:09:06
45,30,2024-06-30,12:09:07
46,30,2024-06-30,12:09:08
47,30,2024-06-30,12:09:09
48,30,2024-06-30,12:09:10
49,30,2024-06-30,12:09:11
50,30,2024-06-30,12:09:12
51,30,2024-06-30,12:09:13
52,30,2024-06-30,12:09:14
53,17,2024-06-30,12:09:15
54,15,2024-06-30,12:09:16
55,15,2024-06-30,12:09:17
56,15,2024-06-30,12:09:18
57,15,2024-06-30,12:09:19
58,15,2024-06-30,12:09:20
59,15,2024-06-30,12:09:21
60,15,2024-06-30,12:09:22
