item,distancia,fecha,hora
1,10,2024-07-02,11:30:35
2,9,2024-07-02,11:30:36
3,10,2024-07-02,11:30:37
4,9,2024-07-02,11:30:38
5,9,2024-07-02,11:30:39
6,9,2024-07-02,11:30:40
7,9,2024-07-02,11:30:41
8,9,2024-07-02,11:30:42
9,9,2024-07-02,11:30:43
10,10,2024-07-02,11:30:44
11,20,2024-07-02,11:30:45
12,20,2024-07-02,11:30:46
13,19,2024-07-02,11:30:47
14,19,2024-07-02,11:30:49
15,20,2024-07-02,11:30:50
16,20,2024-07-02,11:30:51
17,20,2024-07-02,11:30:52
18,19,2024-07-02,11:30:53
19,21,2024-07-02,11:30:54
20,20,2024-07-02,11:30:55
21,20,2024-07-02,11:30:56
22,19,2024-07-02,11:30:57
23,20,2024-07-02,11:30:58
24,21,2024-07-02,11:30:59
25,22,2024-07-02,11:31:00
26,21,2024-07-02,11:31:01
27,21,2024-07-02,11:31:02
28,20,2024-07-02,11:31:03
29,25,2024-07-02,11:31:04
30,33,2024-07-02,11:31:05
31,32,2024-07-02,11:31:06
32,31,2024-07-02,11:31:07
33,31,2024-07-02,11:31:08
34,38,2024-07-02,11:31:09
35,100,2024-07-02,11:31:10
36,72,2024-07-02,11:31:11
37,44,2024-07-02,11:31:12
38,50,2024-07-02,11:31:13
39,100,2024-07-02,11:31:14
40,100,2024-07-02,11:31:15
41,48,2024-07-02,11:31:16
42,49,2024-07-02,11:31:17
43,100,2024-07-02,11:31:18
44,100,2024-07-02,11:31:19
45,30,2024-07-02,11:31:20
46,100,2024-07-02,11:31:21
47,100,2024-07-02,11:31:22
48,100,2024-07-02,11:31:23
49,100,2024-07-02,11:31:24
50,100,2024-07-02,11:31:25
51,100,2024-07-02,11:31:26
52,100,2024-07-02,11:31:27
53,100,2024-07-02,11:31:28
54,100,2024-07-02,11:31:29
55,100,2024-07-02,11:31:30
56,100,2024-07-02,11:31:31
57,100,2024-07-02,11:31:32
58,100,2024-07-02,11:31:33
59,100,2024-07-02,11:31:34
60,100,2024-07-02,11:31:35
