item,distancia,fecha,hora
1,91,2024-06-30,11:50:31
2,92,2024-06-30,11:50:32
3,91,2024-06-30,11:50:33
4,91,2024-06-30,11:50:34
5,90,2024-06-30,11:50:35
6,91,2024-06-30,11:50:36
7,91,2024-06-30,11:50:37
8,91,2024-06-30,11:50:38
9,90,2024-06-30,11:50:39
10,90,2024-06-30,11:50:40
11,80,2024-06-30,11:50:41
12,75,2024-06-30,11:50:42
13,75,2024-06-30,11:50:43
14,75,2024-06-30,11:50:44
15,75,2024-06-30,11:50:45
16,75,2024-06-30,11:50:46
17,75,2024-06-30,11:50:47
18,75,2024-06-30,11:50:48
19,75,2024-06-30,11:50:49
20,75,2024-06-30,11:50:50
21,60,2024-06-30,11:50:51
22,59,2024-06-30,11:50:52
23,60,2024-06-30,11:50:53
24,59,2024-06-30,11:50:54
25,60,2024-06-30,11:50:55
26,59,2024-06-30,11:50:56
27,60,2024-06-30,11:50:57
28,60,2024-06-30,11:50:58
29,60,2024-06-30,11:50:59
30,60,2024-06-30,11:51:00
31,46,2024-06-30,11:51:01
32,44,2024-06-30,11:51:02
33,44,2024-06-30,11:51:03
34,44,2024-06-30,11:51:04
35,44,2024-06-30,11:51:05
36,44,2024-06-30,11:51:06
37,44,2024-06-30,11:51:07
38,45,2024-06-30,11:51:08
39,45,2024-06-30,11:51:09
40,45,2024-06-30,11:51:10
41,36,2024-06-30,11:51:11
42,30,2024-06-30,11:51:12
43,29,2024-06-30,11:51:13
44,30,2024-06-30,11:51:14
45,29,2024-06-30,11:51:15
46,29,2024-06-30,11:51:16
47,29,2024-06-30,11:51:17
48,29,2024-06-30,11:51:18
49,29,2024-06-30,11:51:19
50,29,2024-06-30,11:51:20
51,29,2024-06-30,11:51:21
52,16,2024-06-30,11:51:22
53,15,2024-06-30,11:51:23
54,15,2024-06-30,11:51:24
55,15,2024-06-30,11:51:25
56,16,2024-06-30,11:51:26
57,16,2024-06-30,11:51:27
58,16,2024-06-30,11:51:28
59,16,2024-06-30,11:51:29
60,15,2024-06-30,11:51:30
